Lenlab MSPM0 8.2.2 Bode
Frequenz; Betrag; Phase
100; 0.066676; -4.047953
105; -0.119367; -4.267176
110; 0.024429; -5.970337
115; -0.192164; -7.758555
120; -0.171217; -5.727754
126; -0.125887; -7.325836
132; -0.096375; -7.801212
138; 0.006748; -5.485368
145; -0.049971; -8.994994
151; -0.223167; -7.947207
158; -0.001750; -8.669175
166; -0.095658; -8.669713
174; -0.059926; -8.485592
182; -0.017594; -8.615343
190; -0.248940; -11.590993
200; -0.292370; -9.800140
209; -0.089336; -11.026036
219; 0.021282; -11.266400
229; -0.281200; -13.162247
240; -0.106313; -12.682627
250; -0.261377; -11.716514
263; -0.028235; -14.135319
275; -0.723222; -13.917231
288; -0.639450; -16.828117
302; -0.699871; -13.595388
316; -0.477471; -14.699077
331; -0.453498; -16.584505
347; -0.541490; -18.334201
363; -0.823767; -19.784607
380; -0.431577; -20.707205
398; -0.269354; -20.223014
417; -0.696605; -19.735955
436; -0.448681; -22.327732
457; -0.730380; -24.918269
479; -0.727961; -21.581842
500; -1.061399; -24.295184
525; -0.769402; -26.468951
549; -1.474558; -27.809809
575; -0.361086; -27.008518
602; -1.990190; -27.751222
631; -1.557273; -31.344931
661; -1.471993; -30.435820
692; -1.826851; -29.862209
725; -2.246098; -31.925501
759; -1.333897; -35.567305
795; -1.721595; -36.098763
832; -2.195636; -35.461279
871; -1.914261; -35.902771
912; -1.801997; -35.949675
954; -2.696269; -36.416292
1000; -2.745969; -40.109046
1048; -3.031171; -43.988243
1096; -3.456230; -46.060197
1149; -3.228874; -43.645124
1202; -3.676161; -43.366144
1259; -3.561177; -49.109768
1319; -4.017518; -47.711667
1381; -3.787915; -48.065240
1445; -4.127300; -48.005159
1515; -4.851982; -50.872166
1587; -5.335665; -52.704941
1661; -5.184347; -52.256917
1736; -5.800155; -55.114779
1818; -5.921070; -54.270599
1908; -6.488659; -56.218893
1992; -6.379173; -55.518490
2092; -6.471069; -55.298426
2183; -6.878314; -57.943473
2294; -7.342344; -59.840322
2404; -7.809438; -60.751654
2513; -7.830827; -60.210211
2632; -8.049602; -60.505885
2747; -8.373128; -62.002261
2890; -8.793709; -60.370554
3012; -9.139749; -61.899211
3165; -9.544008; -63.441881
3311; -9.981178; -63.153437
3472; -10.260412; -63.547117
3623; -10.716851; -64.114959
3788; -10.797735; -63.465271
3968; -11.246712; -64.931827
4167; -11.640733; -63.792891
4348; -11.919881; -64.673099
4587; -12.229861; -64.546852
4808; -12.694176; -63.804100
5000; -13.032776; -64.767173
5263; -13.406871; -65.707027
5495; -13.678194; -64.781379
5747; -14.180527; -65.020510
6024; -14.387295; -64.896816
6329; -14.787962; -65.369403
6579; -15.194238; -63.057177
6944; -15.576832; -63.345893
7246; -15.729192; -64.109027
7576; -16.059901; -63.093352
7937; -16.575008; -61.919964
8333; -16.815345; -63.657146
8772; -17.216196; -60.596598
9091; -17.552327; -61.389595
9615; -17.888290; -60.497143
10000; -18.054896; -61.406642
