Quantity,Compatible Units,How units are written in our script,Tested
Pressure,"Atm, bar,bara,barg,kPa,MPa,Pa,psi,psia,psig,kgf/cm2.","atm,bar,bara,barg,kpa,mpa,pa,psi,psig,kgf_cm2",yes
Liquid Flowrate,"bbl/d,bbl/h,bbl/min,ft3/d,ft3/h, ft3/min,ft3/s,m3/d,m3/h,m3/s, gpm,L/min,mL/min","bbl_d,bbl_h,bbl_min,ft3_d,ft3_h,ft3_min,ft3_s,m3_d,m3_h,m3_s,gpm,l_min,ml_min",Yes
Dynamic Viscosity,"cp,kg/m-h,kg/m-s,mPa-s,N-s/m2,Pa-s,lb/ft-h ","cp,kg_mh,kg_ms,mpas,ns_m2,pas,lb_fth",yes
Area,"cm2,ft2,in2,m2","cm2,ft2,in2,m2",yes
Density,"g/cm3,kg/m3,lb/ft3,lb/in3","g_cm3,kg_m3,lb_ft3,lb_in3",yes
Corrosion Rate,"m/s,m/yr,mm/yr,mpy ","m_s,m_y,mm_y,mpy",yes
Gas Standard Flowrate,"MMscf/d,scf/d,scf/h,scf/s,sm3/d,sm3/h,sm3/s,Mscf/d,Msm3/d,Msm3/h","mmscf_d,scf_d,scf_h,scf_s,sm3_d,sm3_h,sm3_s,mscf_d,msm3_d,msm3_h",yes
GOR,"MMscf/sbbl,scf/scf,scf/sbbl,sm3/sm3","mmscf_sbbl,scf_scf,scf_sbbl,sm3_sm3",yes
Kinematic Viscosity,"cSt,ft2/h,in2/s,m2/s ","cst,ft2_h,in2_s,m2_s",yes
Mass Flowrate,"g/s,kg/h,kg/s,kt/d,lb/h,lb/s,t/d","g_s,kg_h,kg_s,kt_d,lb_h,lb_s,t_d",yes
Volume,"ft3,m3,gal,L,MMft3,bbl,cm3,mL","ft3,m3,gal,l,mmft3,bbl,cm3,ml",yes
Thermal Conductivity,"btu/ft-h-R,cal/m-h-K,W/m-C,W/m-K ","btu_fthr,cal_mhk,w_mc,w_mk",yes
Temperature,"°C,°F,K,°R","celsius or degC, fahrenheit or degF,rankine or degR,kelvin or degK", yes
Temperature Difference,"dTC,dTF,dTK,dTR","dtc,dtf,dtk,dtr",yes
Specific heat Capacity,"btu/lb-F,btu/lb-R,J/kg-C,J/kg-K,kJ/kg-C","btu_lbf,btu_lbr,j_kgc,j_kgk,kj_kgc",yes
Energy,"btu,cal,J","btu,cal,j",yes
Surface Tension,"dyn/cm ,mN/m,N/m","dyn_cm,mn_m,n_m",yes
Molecular Weight,"kg/kmol,g/mol,kg/mol,lb/lbmol","kg_kmol,g_mol,kg_mol,lb_lbmol",yes
Molar Volume,"cm3/mol,m3/mol,L/mol,ft3/lbmol","cm3_mol,m3_mol,l_mol,ft3_lbmol",yes
Angular Velocity,"rad/sec,deg/sec","rad_s,deg_s",No
Angle,"degree,rad","degree or deg,rad or radian",No
Area Per Length,"in2/ft,m2/m,mm2/m ","in2_ft,m2_m,mm2_m",No
Brine Density,"g/cm3,kg/m3,lb/ft3,lb/in3,ppg,mg/L","g_cm3,kg_m3,lb_ft3,lb_in3,ppg,mg_l",No
Acceleration,"cm/s2,ft/s2,in/s2,m/s2","cm_s2,ft_s2,in_s2,m_s2",No
CGR,"scf/scf,sm3/sm3,sm3/MMsm3,sbbl/MMscf,sbbl/scf","scf_scf,sm3_sm3,sm3_mmsm3,sbbl_mmscf,sbbl_scf",No
Density Per Pressure,"kg/m-N,s2/m2 ","kg_mn,s2_m2",No
Density Per Temperature,"kg/m3-C,kg/m3-K","kg_m3c,kg_m3k",No
Diffusion Coefficient,"cm2/s,m2/s,mm2/s","cm2_s,m2_s,mm2_s",No
Distance,"cm,ft,in,km,m,mi,mm,yd","cm,ft,in,km,m,mi,mm,yd",No
Enthalpy,"btu,cal,J","btu,cal,j",No
Enthalpy Per Mass,"btu/lb,J/kg,kJ/kg","btu_lb,j_kg,kj_kg",No
Enthalpy Per Mol,"btu/lbmol,cal/mol,J/mol","btu_lbmol,cal_mol,j_mol",No
Enthalpy Per Volume,"btu/ft3,cal/m3,J/m3","btu_ft3,cal_m3,j_m3",No
Enthalpy per mole per Temperature,"btu/lbmol-R,J/mol-K","btu_lbmolr,j_molk",No
Entropy,"btu/R,cal/K,J/K","btu_r,cal_k,j_k",No
Entropy Per Mass,"btu/lb-F,J/kg-C ,kJ/kg-C","btu_lbf,j_kgc,kj_kgc",No
Entropy Per Mol,"btu/lbmol-R,cal/mol-K,J/mol-K","btu_lbmolr,cal_molk,j_molk",No
Entropy Per Volume,"btu/ft3-R,cal/m3-K,J/m3-K","btu_ft3r,cal_m3k,j_m3k",No
Erosion Rate,"in/yr,mm/yr,in/kyr","in_y,mm_y,in_kyr",No
Force,"dyn,kgf ,N,lbf","dyn or dyne,kgf,newton,lbf",No
Fraction,"ppm,ppb","ppm,ppb",No
Frequency,"Hz,1/h,1/min,1/s","hz,one_h,one_m,one_s",No
