Quantity,Compatible Units,How units are written in our script,Tested
Friction Factor ,"N-s/m,g/s,kg/h,kg/s,kt/d,lb/h,lb/s,t/d","ns_m,g_s,kg_h,kg_s,kt_d,lb_h,lb_s,t_d",No
Gas Flowrate,"bbl/d,bbl/h,bbl/min,ft3/d,ft3/h,ft3/min,ft3/s,m3/d,m3/h,m3/s,gpm,L/min,mL/min","bbl_d,bbl_h,bbl_min,ft3_d,ft3_h,ft3_min,ft3_s,m3_d,m3_h,m3_s,gpm,l_min,ml_min",No
GLR,"MMscf/sbbl,scf/scf,scf/sbbl,sm3/sm3","mmscf_sbbl,scf_scf,scf_sbbl,sm3_sm3",No
Heat Flux,"btu/ft2-s,btu/in2-s,kW/m2,W/cm2,W/m2","btu_ft2s,btu_in2s,kw_m2,w_cm2,w_m2",No
Heat Transfer Coefficient,"btu/ft2-h-F,cal/m2-h-C,W/m2-C,W/m2-K","btu_ft2hf,cal_m2hc,w_m2c,w_m2k",No
Heat Transfer Per Length,"btu/s-ft,kW/m,W/m","btu_sft,kw_m,w_m",No
Length,"cm,ft,in,km,m,mi,mm,yd","cm,ft,in,km,m,mi,mm,yd",No
Linear Momentum,"kg-m/s,N-s","kgm_s,ns",No
Liquid Standard Flowrate,"sm3/d,sm3/h,sm3/s,sbbl/d,sbbl/h,sbbl/min","sm3_d,sm3_h,sm3_s,sbbl_d,sbbl_h,sbbl_min",No
Mass  ,"g,kg,mg,kt,kips,oz,lb,t ","g,kg,mg,kt,kips,oz,lb,t ",No
Mass Flowrate Per Area,"kg/h-m2,kg/h-cm2,kg/s-m2,lb/h-m2,lb/s-m2,mg/h-in2","kg_hm2,kg_hcm2,kg_sm2,lb_hm2,lb_sm2,mg_hin2",No
Mass Gradient,"g/cm,g/ft,g/in,g/m,kg/m,lb/ft,lb/in","g_cm,g_ft,g_in,g_m,kg_m,lb_ft,lb_in",No
Mass Moment Of Inertia,"kg-m2,lb-ft2,lbf-in-s2,lb-in2","kgm2,lbft2,lbfins2,lbin2",No
Mass Per Area,"g/cm2,g/ft2,g/in2,g/m2,kg/ft2,kg/m2","g_cm2,g_ft2,g_in2,g_m2,kg_ft2,kg_m2",No
Molar Concentration Gradient,"mol/cm4,mol/m4,lbmol/ft4","mol_cm4,mol_m4,lbmol_ft4",No
Molar Density,"mol/cm3,mol/m3,mol/L,lbmol/ft3","mol_cm3,mol_m3,mol_l,lbmol_ft3",No
Molar Flux,"kmol/m2-s,mol/m2-s","kmol_m2s,mol_m2s",No
Molar Rate,"kmol/s,mol/s,lbmol/s","kmol_s,mol_s,lbmol_s",No
Mole Density Per Temperature,mol/m3-K,mol_m3k,No
Moles,"kmol,mol,lbmol","kmol,mol,lbmol",No
One Over Flowrate,"d/bbl,min/bbl,d/ft3,h/ft3,s/ft3,d/m3,h/m3,s/m3","d_bbl,min_bbl,d_ft3,h_ft3,s_ft3,d_m3,h_m3,s_m3",No
One Over Lenghth,"1/cm,1/ft,1/km,1/m,1/mi,1/mm","one_cm,one_ft,one_km,one_m,one_mi,one_mm",No
One Over Standard Flowrate,"d/MMscf,d/MMsm3,s/MMscf,d/scf,s/scf,d/sm3,s/sm3","d_mmscf,d_mmsm3,s_mmscf,d_scf,s_scf,d_sm3,s_sm3",No
Power,"btu/h,hp,kW,mW,W","btu_h,hp,kw,mw,w",No
Pressure Difference,"atm,bar,kPa,Pa,psi","atm,bar,kpa,pa,psi",No
Pressure Gradient,"psi/ft,kPa/m,Pa/m,bar/m","psi_ft,kpa_m,pa_m,bar_m",No
Rate Of Change Of Density,kg/m3-s,kg_m3s,No
Rate Of Change Of Pressure,pa/s,pa_s,No
Rate Of Change Of Temperature,"F/s,C/s,K/s,R/s,C/min,F/min,C/h,F/h","f_s,c_s,k_s,r_s,c_m,f_m,c_h,f_h",No
Revolutions Per Time,rpm,rpm,No
Specific Capacity ,"ft3/R,m3/R","ft3_r,m3_r",No
Specific Enthalpy,"btu/lb,cal/kg,J/kg,J/g,kJ/kg","btu_lb,cal_kg,j_kg,j_g,kj_kg",No
Specific Mole,"mol/g,mol/kg,lbmol/lb","mol_g,mol_kg,lbmol_lb",No
Specific Volume,"cm3/g,ft3/lb,in3/lb,m3/kg","cm3_g,ft3_lb,in3_lb,m3_kg",No
Standard Volume,"scm3,MMscf,sgal,sL,scf,sm3, sbbl,Mscf,Msm3","scm3,mmscf,sgal,sl,scf,sm3,sbbl,mscf,msm3",No
Standard Volumetric Flowrate,"MMscf/d,scf/d, scf/h,scf/s,sm3/d,sm3/h,sm3/s,sbbl/d,sbbl/h, sbbl/min,Mscf/d,Msm3/d, Msm3/h","mmscf_d,scf_d,scf_h,scf_s,sm3_d,sm3_h,sm3_s,sbbl_d,sbbl_h,sbbl_min,mscf_d,msm3_d,msm3_h",No
Standard Volumetric Flowrate Per Length,"sbbl/d/ft,m2/s,mm2/s,cm2/s","sbbl_d_ft,m2_s,mm2_s,cm2_s",No
Temperature Gradient,F/ft,f_ft,No
Thermal Expansion,"1/C,1/F,1/K,1/R","one_c,one_f,one_k,one_r",No
Time,"d,h,ms,min,s,yr","d or day,h or hour,ms,min or minute,s or second,y or year",No
Torque,"ft-lb,mN-m,N-cm,N-m","ftlb,mnm,ncm,nm",No
Velocity,"ft/h,ft/s,m/h,m/s,mph,in/h,in/s, km/s,km/h","ft_h,ft_s,m_h,m_s,mph,in_h,in_s,km_s,km_h",No
Volumetric Flowrate,"bbl/d,bbl/h,bbl/min,ft3/d,ft3/h, ft3/min,ft3/s,m3/d,m3/h,m3/s, gpm,L/min,mL/min","bbl_d,bbl_h,bbl_m,ft3_d,ft3_h,ft3_m,ft3_s,m3_d,m3_h,m3_s,gpm,l_m,ml_m",No
Wax Volume,"bbl,cm3,ft3,m3,gal,L ","bbl,cm3,ft3,m3,gal,l",No
