Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:15:00,6.387672E-02,3.657042E+03,6.236166E-02,0.000000E+00,0.000000E+00,6.236166E-02,1.156664E+03,2.929076E-01,3.116552E+03,3.107463E+03,1.761955E-01,5.197759E+03,4.727418E-02,0.000000E+00,0.000000E+00,4.727418E-02,8.768263E+02,1.926398E-01,2.035014E+03,1.932632E+03,1.076632E-01,3.143024E+03,2.804365E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.201446E+02,1.244218E-01,1.320252E+03,1.260423E+03,1.727104E-01,5.131603E+03,4.727418E-02,0.000000E+00,0.000000E+00,4.727418E-02,8.768263E+02,1.898588E-01,2.004025E+03,1.899804E+03,1.076632E-01,3.143024E+03,2.804365E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.201446E+02,1.390053E-01,1.482756E+03,1.430680E+03
00:30:00,6.383450E-02,3.656240E+03,6.236166E-02,0.000000E+00,0.000000E+00,6.236166E-02,1.170576E+03,2.919562E-01,3.092038E+03,3.082132E+03,1.761788E-01,5.197442E+03,4.727418E-02,0.000000E+00,0.000000E+00,4.727418E-02,8.873722E+02,1.905041E-01,2.000670E+03,1.896637E+03,1.076542E-01,3.142854E+03,2.804365E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.264006E+02,1.228997E-01,1.297036E+03,1.236171E+03,1.726936E-01,5.131284E+03,4.727418E-02,0.000000E+00,0.000000E+00,4.727418E-02,8.873722E+02,1.877713E-01,1.970219E+03,1.864361E+03,1.076542E-01,3.142854E+03,2.804365E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.264006E+02,1.368894E-01,1.452922E+03,1.399610E+03
00:45:00,6.379271E-02,3.655447E+03,6.236166E-02,0.000000E+00,0.000000E+00,6.236166E-02,1.184487E+03,2.910392E-01,3.067909E+03,3.057201E+03,1.761623E-01,5.197128E+03,4.727418E-02,0.000000E+00,0.000000E+00,4.727418E-02,8.979180E+02,1.884299E-01,1.967012E+03,1.861344E+03,1.076454E-01,3.142685E+03,2.804365E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.326565E+02,1.214171E-01,1.274260E+03,1.212360E+03,1.726770E-01,5.130969E+03,4.727418E-02,0.000000E+00,0.000000E+00,4.727418E-02,8.979180E+02,1.857463E-01,1.937109E+03,1.829624E+03,1.076454E-01,3.142685E+03,2.804365E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.326565E+02,1.348657E-01,1.424116E+03,1.369595E+03
01:00:00,6.375134E-02,3.654662E+03,6.236166E-02,0.000000E+00,0.000000E+00,6.236166E-02,1.198399E+03,2.901522E-01,3.044114E+03,3.032617E+03,1.761459E-01,5.196818E+03,4.727418E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.084639E+02,1.864127E-01,1.933990E+03,1.826700E+03,1.076366E-01,3.142519E+03,2.804365E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.389125E+02,1.199730E-01,1.251913E+03,1.188989E+03,1.726606E-01,5.130657E+03,4.727418E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.084639E+02,1.837809E-01,1.904664E+03,1.795569E+03,1.076366E-01,3.142519E+03,2.804365E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.389125E+02,1.329247E-01,1.396232E+03,1.340526E+03
01:15:00,6.371040E-02,3.653885E+03,6.236166E-02,0.000000E+00,0.000000E+00,6.236166E-02,1.207673E+03,2.892919E-01,3.025253E+03,3.013067E+03,1.761297E-01,5.196511E+03,4.727418E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.154945E+02,1.844769E-01,1.905390E+03,1.796615E+03,1.076279E-01,3.142354E+03,2.804365E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.430831E+02,1.185825E-01,1.232248E+03,1.168379E+03,1.726443E-01,5.130348E+03,4.727418E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.154945E+02,1.818987E-01,1.876661E+03,1.766098E+03,1.076279E-01,3.142354E+03,2.804365E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.430831E+02,1.310752E-01,1.371453E+03,1.314653E+03
01:30:00,6.366988E-02,3.653116E+03,6.236166E-02,0.000000E+00,0.000000E+00,6.236166E-02,1.216948E+03,2.884557E-01,3.006662E+03,2.993798E+03,1.761138E-01,5.196207E+03,4.727418E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.225250E+02,1.826197E-01,1.877664E+03,1.767443E+03,1.076193E-01,3.142191E+03,2.804365E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.472537E+02,1.172440E-01,1.213163E+03,1.148371E+03,1.726282E-01,5.130043E+03,4.727418E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.225250E+02,1.800969E-01,1.849553E+03,1.737565E+03,1.076193E-01,3.142191E+03,2.804365E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.472537E+02,1.293108E-01,1.347622E+03,1.289759E+03
01:45:00,6.367420E-02,3.653198E+03,6.236166E-02,0.000000E+00,0.000000E+00,6.236166E-02,1.226222E+03,2.876603E-01,2.988525E+03,2.975032E+03,1.761158E-01,5.196246E+03,4.727418E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.295556E+02,1.808409E-01,1.850813E+03,1.739186E+03,1.076204E-01,3.142212E+03,2.804365E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.514243E+02,1.159558E-01,1.194638E+03,1.128942E+03,1.726303E-01,5.130082E+03,4.727418E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.295556E+02,1.783753E-01,1.823339E+03,1.709969E+03,1.076204E-01,3.142212E+03,2.804365E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.514243E+02,1.276260E-01,1.324678E+03,1.265779E+03
02:00:00,6.367848E-02,3.653279E+03,6.236166E-02,0.000000E+00,0.000000E+00,6.236166E-02,1.235496E+03,2.868858E-01,2.970620E+03,2.956507E+03,1.761178E-01,5.196284E+03,4.727418E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.365862E+02,1.791259E-01,1.824673E+03,1.711665E+03,1.076216E-01,3.142234E+03,2.804365E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.555950E+02,1.147085E-01,1.176569E+03,1.109978E+03,1.726323E-01,5.130120E+03,4.727418E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.365862E+02,1.767149E-01,1.797807E+03,1.683074E+03,1.076216E-01,3.142234E+03,2.804365E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.555950E+02,1.260098E-01,1.302498E+03,1.242585E+03
02:15:00,6.368271E-02,3.653359E+03,6.236166E-02,0.000000E+00,0.000000E+00,6.236166E-02,1.242452E+03,2.861311E-01,2.955255E+03,2.940575E+03,1.761198E-01,5.196322E+03,4.727418E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.418591E+02,1.774876E-01,1.801145E+03,1.686852E+03,1.076227E-01,3.142255E+03,2.804365E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.587229E+02,1.135141E-01,1.160132E+03,1.092705E+03,1.726343E-01,5.130158E+03,4.727418E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.418591E+02,1.751347E-01,1.774926E+03,1.658933E+03,1.076227E-01,3.142255E+03,2.804365E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.587229E+02,1.244667E-01,1.282175E+03,1.221311E+03
02:30:00,6.368689E-02,3.653439E+03,6.236166E-02,0.000000E+00,0.000000E+00,6.236166E-02,1.249408E+03,2.853956E-01,2.940104E+03,2.924868E+03,1.761217E-01,5.196359E+03,4.727418E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.471320E+02,1.759254E-01,1.778465E+03,1.662947E+03,1.076238E-01,3.142275E+03,2.804365E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.618509E+02,1.123708E-01,1.144264E+03,1.076034E+03,1.726363E-01,5.130195E+03,4.727418E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.471320E+02,1.736314E-01,1.752903E+03,1.635711E+03,1.076238E-01,3.142275E+03,2.804365E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.618509E+02,1.229940E-01,1.262637E+03,1.200858E+03
