,feature_name
VCAN,VCAN
CXCL9,CXCL9
TRBV7-9,TRBV7-9
STMN1,STMN1
TRBV4-2,TRBV4-2
MT1H,MT1H
MT1X,MT1X
PMCH,PMCH
UBE2C,UBE2C
TRBV7-6,TRBV7-6
CD163,CD163
TRBV7-3,TRBV7-3
TRBV20-1,TRBV20-1
TRBV10-3,TRBV10-3
LYPD2,LYPD2
TRBV12-4,TRBV12-4
MYL9,MYL9
GPNMB,GPNMB
TRBV6-6,TRBV6-6
INHBA,INHBA
XCL2,XCL2
CD74,CD74
IL1RN,IL1RN
IGLV5-52,IGLV5-52
IFITM2,IFITM2
MRC1,MRC1
IFITM3,IFITM3
JUN,JUN
TOP2A,TOP2A
TRBV3-1,TRBV3-1
CTSK,CTSK
GZMB,GZMB
IL1RL1,IL1RL1
GATA2,GATA2
PDK4,PDK4
TMEM40,TMEM40
MARCO,MARCO
TRBV4-1,TRBV4-1
TRBV30,TRBV30
TRBV6-5,TRBV6-5
SLC25A37,SLC25A37
AKAP12,AKAP12
CYP4F3,CYP4F3
CMTM5,CMTM5
CLU,CLU
HDC,HDC
VSIG4,VSIG4
FBP1,FBP1
NUPR1,NUPR1
TRBV6-1,TRBV6-1
HSPB1,HSPB1
TRBV13,TRBV13
FCN1,FCN1
CSF2,CSF2
MT-ATP8,MT-ATP8
NAMPT,NAMPT
PTGS2,PTGS2
HSP90AA1,HSP90AA1
HLA-DRA,HLA-DRA
RGS1,RGS1
CSF3R,CSF3R
PLAUR,PLAUR
VPREB1,VPREB1
CENPF,CENPF
CLEC1B,CLEC1B
MT1M,MT1M
KIT,KIT
HMOX1,HMOX1
ITGA2B,ITGA2B
TRBV5-5,TRBV5-5
ACRBP,ACRBP
MS4A2,MS4A2
TRBV29-1,TRBV29-1
TREML1,TREML1
IL10,IL10
CH25H,CH25H
FOS,FOS
KLRB1,KLRB1
ARG1,ARG1
CTSL,CTSL
S100A11,S100A11
TIMP1,TIMP1
NFKBIA,NFKBIA
TRBV5-6,TRBV5-6
EGR1,EGR1
TRBV5-4,TRBV5-4
TRBV14,TRBV14
CD24,CD24
ACP5,ACP5
TRBV9,TRBV9
BAG3,BAG3
HPGDS,HPGDS
CHI3L1,CHI3L1
FTH1,FTH1
TRBV19,TRBV19
SLC4A1,SLC4A1
HSPH1,HSPH1
CD69,CD69
S100B,S100B
PTCRA,PTCRA
CTSS,CTSS
MNDA,MNDA
TRBV10-2,TRBV10-2
LGMN,LGMN
FGFBP2,FGFBP2
TRAV38-2DV8,TRAV38-2DV8
EMP1,EMP1
NPPC,NPPC
IL7R,IL7R
CMTM2,CMTM2
MEG3,MEG3
CD9,CD9
ARC,ARC
TRBV2,TRBV2
TIMP3,TIMP3
ALPL,ALPL
SAA1,SAA1
HPGD,HPGD
TRBV24-1,TRBV24-1
IER3,IER3
CTSB,CTSB
IGHD,IGHD
PADI4,PADI4
PF4V1,PF4V1
FBLN1,FBLN1
GZMK,GZMK
CDKN1C,CDKN1C
ZDHHC19,ZDHHC19
TRBV6-2,TRBV6-2
PRF1,PRF1
PROK2,PROK2
GCA,GCA
RGS18,RGS18
TNFAIP3,TNFAIP3
MMP19,MMP19
TSC22D1,TSC22D1
PMP22,PMP22
HAMP,HAMP
BASP1,BASP1
MKI67,MKI67
TRBV18,TRBV18
FOSB,FOSB
SAA2,SAA2
HLA-DRB1,HLA-DRB1
PRKAR2B,PRKAR2B
GZMA,GZMA
MMP25,MMP25
NUSAP1,NUSAP1
TNFAIP6,TNFAIP6
CXCR2,CXCR2
RRM2,RRM2
TRAV21,TRAV21
OLR1,OLR1
HK3,HK3
SAT1,SAT1
BPI,BPI
GZMH,GZMH
ACSL1,ACSL1
IL24,IL24
TRBV25-1,TRBV25-1
LUCAT1,LUCAT1
HP,HP
RPS17,RPS17
TCL1B,TCL1B
SOX4,SOX4
HLA-DPA1,HLA-DPA1
FABP5,FABP5
MT-ND4L,MT-ND4L
LGALS3,LGALS3
SLC40A1,SLC40A1
GYPA,GYPA
FPR1,FPR1
BCL2A1,BCL2A1
TRAV12-2,TRAV12-2
DEFB1,DEFB1
CA2,CA2
THBD,THBD
ZFP36,ZFP36
UTS2,UTS2
SDS,SDS
IDO1,IDO1
MYOM2,MYOM2
DOP1B,DOP1B
FOLR2,FOLR2
RGS13,RGS13
TRAV3,TRAV3
STAB1,STAB1
RHAG,RHAG
HLA-DPB1,HLA-DPB1
TRAV10,TRAV10
SNCA,SNCA
SPON2,SPON2
AIF1,AIF1
APOBEC3A,APOBEC3A
MS4A1,MS4A1
TRBV27,TRBV27
SERPINH1,SERPINH1
DUSP4,DUSP4
CCN2,CCN2
CLEC10A,CLEC10A
TNFAIP2,TNFAIP2
CST7,CST7
CMC1,CMC1
MCEMP1,MCEMP1
DUSP2,DUSP2
MS4A7,MS4A7
CALD1,CALD1
TNF,TNF
IFITM1,IFITM1
ANXA3,ANXA3
JUND,JUND
CTSD,CTSD
TRAV13-1,TRAV13-1
RARRES1,RARRES1
TYMS,TYMS
TRAV27,TRAV27
CDC20,CDC20
EEF1G,EEF1G
TRAV8-1,TRAV8-1
FCGBP,FCGBP
CPM,CPM
PENK,PENK
GYPB,GYPB
RBP4,RBP4
IL6,IL6
SPARC,SPARC
ANPEP,ANPEP
TXNDC5,TXNDC5
PCLAF,PCLAF
TRAV8-4,TRAV8-4
MMP1,MMP1
GP1BA,GP1BA
LMNA,LMNA
TRBV28,TRBV28
RPH3A,RPH3A
TRAV9-2,TRAV9-2
CD79A,CD79A
RGCC,RGCC
TRBV15,TRBV15
OLAH,OLAH
KLRD1,KLRD1
TUBB,TUBB
MSX1,MSX1
SPTA1,SPTA1
NLRP3,NLRP3
MAFB,MAFB
HMGB2,HMGB2
ATF3,ATF3
LPL,LPL
COL1A2,COL1A2
PCDH9,PCDH9
MMRN1,MMRN1
CDO1,CDO1
PTX3,PTX3
TRAV38-1,TRAV38-1
LST1,LST1
AQP9,AQP9
RGS16,RGS16
ANXA1,ANXA1
HLA-DRB5,HLA-DRB5
TRAV1-1,TRAV1-1
MS4A4A,MS4A4A
RRAD,RRAD
S100A6,S100A6
TGM2,TGM2
CD207,CD207
TRDC,TRDC
CLDN5,CLDN5
ASPM,ASPM
TRAV12-1,TRAV12-1
ALOX5AP,ALOX5AP
SRGN,SRGN
MAP3K7CL,MAP3K7CL
KLRC1,KLRC1
HLA-DQA1,HLA-DQA1
DAB2,DAB2
IL32,IL32
CSF1,CSF1
CDK1,CDK1
DUSP1,DUSP1
TNIP3,TNIP3
DNAJA4,DNAJA4
TRAV14DV4,TRAV14DV4
CXCL12,CXCL12
SCGB3A2,SCGB3A2
CLIC3,CLIC3
CD14,CD14
TRDV1,TRDV1
VNN2,VNN2
MSR1,MSR1
ITGB3,ITGB3
PIGR,PIGR
HEMGN,HEMGN
SERPING1,SERPING1
TCHH,TCHH
TYROBP,TYROBP
TRAV30,TRAV30
PLAT,PLAT
NMB,NMB
ENKUR,ENKUR
PLEK,PLEK
TRAV1-2,TRAV1-2
TRAV20,TRAV20
RASD1,RASD1
CEBPD,CEBPD
TUBA1B,TUBA1B
IGHE,IGHE
WFDC2,WFDC2
TRAV5,TRAV5
IFIT1B,IFIT1B
SLC18A2,SLC18A2
DERL3,DERL3
SERPINA1,SERPINA1
FCGR3A,FCGR3A
CTSW,CTSW
PLA2G2D,PLA2G2D
ORM1,ORM1
CCL19,CCL19
MGAM,MGAM
TRAV8-6,TRAV8-6
IFIT2,IFIT2
ULK1,ULK1
RAG1,RAG1
VPREB3,VPREB3
CD79B,CD79B
SERPINE1,SERPINE1
SCGB3A1,SCGB3A1
ADM,ADM
FCER1G,FCER1G
PLIN2,PLIN2
SFTPB,SFTPB
CFD,CFD
PPIF,PPIF
CD83,CD83
TMCC2,TMCC2
TNFSF15,TNFSF15
ACSM3,ACSM3
TRDV2,TRDV2
KEL,KEL
SLC11A1,SLC11A1
RHOB,RHOB
TRIM58,TRIM58
TRAV23DV6,TRAV23DV6
RGS2,RGS2
DNASE1L3,DNASE1L3
IL2,IL2
HSPD1,HSPD1
STEAP4,STEAP4
CEACAM3,CEACAM3
NFKBIZ,NFKBIZ
MXD1,MXD1
TRAV19,TRAV19
TRAV12-3,TRAV12-3
BCL6,BCL6
GDF15,GDF15
IL4,IL4
CNRIP1,CNRIP1
GPR183,GPR183
CLEC9A,CLEC9A
TNNI3,TNNI3
A2M,A2M
CES1,CES1
IGFBP6,IGFBP6
CA3,CA3
MARCKS,MARCKS
TRAV29DV5,TRAV29DV5
CTLA4,CTLA4
ZCCHC12,ZCCHC12
OSM,OSM
KLRF1,KLRF1
MAFA,MAFA
PLIN5,PLIN5
GSN,GSN
C5AR1,C5AR1
HLA-DQB1,HLA-DQB1
TPX2,TPX2
ZFAND2A,ZFAND2A
TNNC1,TNNC1
GCHFR,GCHFR
LTB,LTB
KLF2,KLF2
NBEAL2,NBEAL2
PTTG1,PTTG1
CD7,CD7
LINC02195,LINC02195
TPM2,TPM2
PPP1R15A,PPP1R15A
MS4A6A,MS4A6A
HSPE1,HSPE1
CXCL11,CXCL11
CXCR1,CXCR1
KRT86,KRT86
RAB27B,RAB27B
IL1R1,IL1R1
KLF6,KLF6
CYSTM1,CYSTM1
TRAV26-2,TRAV26-2
NIBAN1,NIBAN1
GLUL,GLUL
S100A4,S100A4
INSIG1,INSIG1
CYP1B1,CYP1B1
NR4A2,NR4A2
CEACAM1,CEACAM1
CCNB2,CCNB2
MME,MME
ACTA1,ACTA1
LGALS2,LGALS2
IL12B,IL12B
ID3,ID3
CTTN,CTTN
FFAR2,FFAR2
MELTF,MELTF
CRIP1,CRIP1
TNFRSF4,TNFRSF4
CYP27A1,CYP27A1
LGALS1,LGALS1
ADGRG3,ADGRG3
GATA1,GATA1
ALDOB,ALDOB
LRRK2,LRRK2
IFNB1,IFNB1
TRBC1,TRBC1
CDA,CDA
CYB5D2,CYB5D2
PRSS2,PRSS2
TRGC2,TRGC2
TRAV16,TRAV16
VEGFA,VEGFA
PLK1,PLK1
KLRC2,KLRC2
PHLDA1,PHLDA1
LRG1,LRG1
HES4,HES4
SPIC,SPIC
LTBP1,LTBP1
P2RX1,P2RX1
APLP2,APLP2
TRIM63,TRIM63
IL1A,IL1A
IER2,IER2
NR4A1,NR4A1
ITGAM,ITGAM
KLF4,KLF4
XPO6,XPO6
HMMR,HMMR
EGR4,EGR4
CXCL14,CXCL14
NR4A3,NR4A3
LINC01781,LINC01781
GEM,GEM
CD8A,CD8A
RP2,RP2
FGL2,FGL2
HMGN2,HMGN2
PYGL,PYGL
MYLK,MYLK
PDGFA,PDGFA
GADD45B,GADD45B
SYNE2,SYNE2
GADD45A,GADD45A
PEG10,PEG10
PRSS57,PRSS57
CCDC80,CCDC80
CRTAM,CRTAM
GYS1,GYS1
ACTN1,ACTN1
IRAK3,IRAK3
GRN,GRN
RPL17,RPL17
HES1,HES1
CSAD,CSAD
PSAP,PSAP
ESAM,ESAM
CLEC12A,CLEC12A
ITGAX,ITGAX
PRDM5,PRDM5
CD8B,CD8B
TREM2,TREM2
BEND2,BEND2
HOPX,HOPX
LINC01857,LINC01857
AQP10,AQP10
IL2RB,IL2RB
VNN1,VNN1
CREM,CREM
CKAP4,CKAP4
IL18RAP,IL18RAP
TRAV17,TRAV17
SAMSN1,SAMSN1
KCNJ15,KCNJ15
IFI30,IFI30
CYBB,CYBB
TRIB1,TRIB1
CD160,CD160
PFKFB2,PFKFB2
HLA-DQA2,HLA-DQA2
ZNF331,ZNF331
TRAV2,TRAV2
CXCL16,CXCL16
TKTL1,TKTL1
ABCA7,ABCA7
LINC02446,LINC02446
DLK1,DLK1
AURKB,AURKB
TREM1,TREM1
TSC22D3,TSC22D3
TNFRSF10C,TNFRSF10C
MFAP5,MFAP5
TRAV26-1,TRAV26-1
MAP2K3,MAP2K3
NIBAN3,NIBAN3
AKR1C1,AKR1C1
LAG3,LAG3
ALOX12,ALOX12
IL5RA,IL5RA
SYNE1,SYNE1
KIR2DL1,KIR2DL1
KIR3DL1,KIR3DL1
TMIGD3,TMIGD3
CEBPB,CEBPB
ALOX15B,ALOX15B
SLC7A11,SLC7A11
SUGCT,SUGCT
GADD45G,GADD45G
SGK1,SGK1
CXCR4,CXCR4
CCNB1,CCNB1
AP5B1,AP5B1
BANK1,BANK1
SCT,SCT
ASPH,ASPH
CD63,CD63
LAIR2,LAIR2
FAM193B,FAM193B
TRDV3,TRDV3
UGCG,UGCG
APOA1,APOA1
TRGV2,TRGV2
ACOD1,ACOD1
PLAU,PLAU
ARPP21,ARPP21
CD36,CD36
PLBD1,PLBD1
MAF,MAF
COL1A1,COL1A1
ATP6V0A1,ATP6V0A1
AMN,AMN
ATP2C2,ATP2C2
DYSF,DYSF
TFPI,TFPI
TCIRG1,TCIRG1
KLRK1,KLRK1
SLC2A3,SLC2A3
HBEGF,HBEGF
TMSB4X,TMSB4X
SELP,SELP
TNFRSF9,TNFRSF9
EGFL7,EGFL7
LY6G6F,LY6G6F
VWA5A,VWA5A
HTRA1,HTRA1
HSPA8,HSPA8
PDZK1IP1,PDZK1IP1
MUCL1,MUCL1
C1R,C1R
CR1,CR1
LPO,LPO
TRAV13-2,TRAV13-2
VIM,VIM
PMEL,PMEL
ATP2A3,ATP2A3
SLCO2B1,SLCO2B1
CLEC4E,CLEC4E
FCGR2A,FCGR2A
LINC00926,LINC00926
CITED2,CITED2
TNFSF14,TNFSF14
TGFB1I1,TGFB1I1
SLC1A2,SLC1A2
KIAA1549,KIAA1549
ANKRD22,ANKRD22
LIPA,LIPA
LINC02076,LINC02076
ABL2,ABL2
BAZ2B,BAZ2B
CD247,CD247
DNAAF1,DNAAF1
SLC5A3,SLC5A3
IGF1R,IGF1R
HOMER3,HOMER3
CSTB,CSTB
LITAF,LITAF
NFE2,NFE2
ABHD5,ABHD5
LILRB5,LILRB5
TRAC,TRAC
VMO1,VMO1
PFKFB3,PFKFB3
ID2,ID2
MYB,MYB
SORL1,SORL1
KDM5B,KDM5B
HGD,HGD
DNAJA1,DNAJA1
TMEM52B,TMEM52B
PRH1,PRH1
IFIT3,IFIT3
HSPA5,HSPA5
TRH,TRH
ANKRD34B,ANKRD34B
TNFRSF17,TNFRSF17
HRH2,HRH2
RETREG3,RETREG3
RNF175,RNF175
FCER2,FCER2
NPTX2,NPTX2
TRAV8-2,TRAV8-2
ICAM1,ICAM1
UHRF1,UHRF1
PDLIM7,PDLIM7
MIR3945HG,MIR3945HG
GK,GK
HEY1,HEY1
TPM1,TPM1
NEXN,NEXN
MYL4,MYL4
PRUNE2,PRUNE2
LHX1,LHX1
TFRC,TFRC
TNFRSF18,TNFRSF18
MIR155HG,MIR155HG
DLGAP5,DLGAP5
CPVL,CPVL
JUNB,JUNB
IFRD1,IFRD1
GMPR,GMPR
TYMP,TYMP
COL17A1,COL17A1
TRAPPC3L,TRAPPC3L
GJB2,GJB2
KCNE1,KCNE1
PMAIP1,PMAIP1
FABP3,FABP3
MT-CO1,MT-CO1
CCNJL,CCNJL
CUEDC1,CUEDC1
CR2,CR2
SH3BGRL2,SH3BGRL2
DCTN1,DCTN1
LINC02362,LINC02362
KRT1,KRT1
CRISPLD2,CRISPLD2
KRT81,KRT81
IVNS1ABP,IVNS1ABP
TRAV22,TRAV22
ADGRG1,ADGRG1
HRK,HRK
GPX3,GPX3
DUSP6,DUSP6
RTKN2,RTKN2
VPS9D1,VPS9D1
KIAA0319L,KIAA0319L
TRAV41,TRAV41
CD1C,CD1C
RNASE2,RNASE2
NNMT,NNMT
SLC25A44,SLC25A44
IL18R1,IL18R1
PCDH17,PCDH17
SCN5A,SCN5A
SDC2,SDC2
TIGIT,TIGIT
RASSF2,RASSF2
DHRS9,DHRS9
SNX20,SNX20
STAG3,STAG3
TSPO,TSPO
TLR2,TLR2
KRT5,KRT5
TUBB2B,TUBB2B
SLC1A3,SLC1A3
KIAA0087,KIAA0087
ORM2,ORM2
PDE5A,PDE5A
TIMD4,TIMD4
SPRY1,SPRY1
LINC00299,LINC00299
CEBPE,CEBPE
PSD4,PSD4
CXCR6,CXCR6
OXTR,OXTR
TSPAN2,TSPAN2
ALDH2,ALDH2
ACTB,ACTB
TRAV8-3,TRAV8-3
SVIL,SVIL
OSER1,OSER1
INPPL1,INPPL1
FBN1,FBN1
TRAV6,TRAV6
FILIP1L,FILIP1L
TACSTD2,TACSTD2
HSP90AB1,HSP90AB1
PDGFRA,PDGFRA
HILPDA,HILPDA
RBPMS2,RBPMS2
TIMP2,TIMP2
LGALSL,LGALSL
LY9,LY9
CAPG,CAPG
PGD,PGD
PRR4,PRR4
ZDHHC18,ZDHHC18
ARL4C,ARL4C
TFPI2,TFPI2
IRS2,IRS2
RPS27,RPS27
KRT23,KRT23
CREB5,CREB5
ZNF683,ZNF683
IGFBP2,IGFBP2
ADAMTS1,ADAMTS1
AMPD2,AMPD2
BRI3,BRI3
ACSS3,ACSS3
BATF,BATF
FCGRT,FCGRT
CORO2A,CORO2A
PNMT,PNMT
CABP5,CABP5
GFI1B,GFI1B
MINDY1,MINDY1
FAM178B,FAM178B
MVD,MVD
PGC,PGC
RNASE3,RNASE3
CDKN2D,CDKN2D
MYADM,MYADM
BIRC3,BIRC3
CD300E,CD300E
TRAV24,TRAV24
FKBP4,FKBP4
ARAF,ARAF
KLK1,KLK1
B2M,B2M
DNAJB4,DNAJB4
CD3D,CD3D
C2CD4B,C2CD4B
IL4R,IL4R
OPRM1,OPRM1
YBX3,YBX3
IER5,IER5
MEGF9,MEGF9
TAGLN,TAGLN
ABTB1,ABTB1
SRA1,SRA1
NEFM,NEFM
SEPTIN5,SEPTIN5
PIK3R5,PIK3R5
GLDN,GLDN
GPR171,GPR171
DNAH17,DNAH17
PFKFB4,PFKFB4
CKS2,CKS2
NEIL1,NEIL1
GSTM3,GSTM3
TRGC1,TRGC1
CLEC4C,CLEC4C
KLRC3,KLRC3
TLCD4,TLCD4
TNC,TNC
SLC38A11,SLC38A11
LRRN1,LRRN1
KIR3DL2,KIR3DL2
SELENBP1,SELENBP1
SOCS1,SOCS1
FPR2,FPR2
LINC00989,LINC00989
LIMS1,LIMS1
PPARG,PPARG
KIR2DL3,KIR2DL3
P2RX5,P2RX5
EGR3,EGR3
PLK2,PLK2
MAP3K8,MAP3K8
TTTY14,TTTY14
IGSF6,IGSF6
MAP3K3,MAP3K3
KIF1B,KIF1B
FOXP3,FOXP3
ATP2B1-AS1,ATP2B1-AS1
EDN1,EDN1
DNAH12,DNAH12
NTNG2,NTNG2
AMY2B,AMY2B
HBQ1,HBQ1
MORC1,MORC1
TNFSF9,TNFSF9
IL11RA,IL11RA
SLC16A10,SLC16A10
BTG2,BTG2
NCF2,NCF2
GCSAML,GCSAML
AKR1C3,AKR1C3
ADAM8,ADAM8
SCAP,SCAP
VCL,VCL
TNFRSF13C,TNFRSF13C
CTSZ,CTSZ
BTBD19,BTBD19
TTLL3,TTLL3
NECAB1,NECAB1
CD209,CD209
PTGES,PTGES
GSTM5,GSTM5
MAN1A1,MAN1A1
PPP1R14A,PPP1R14A
MT-ATP6,MT-ATP6
P2RY13,P2RY13
ZNF587,ZNF587
OPLAH,OPLAH
TRBV23-1,TRBV23-1
NME2,NME2
CYGB,CYGB
MTURN,MTURN
SNAPC1,SNAPC1
ALDH1A1,ALDH1A1
CENPE,CENPE
BACH2,BACH2
IL4I1,IL4I1
SMC4,SMC4
LIF,LIF
MICAL1,MICAL1
TRBC2,TRBC2
CHN1,CHN1
TUBB4B,TUBB4B
IL2RA,IL2RA
KBTBD7,KBTBD7
MMD,MMD
BLVRB,BLVRB
MLKL,MLKL
DRAIC,DRAIC
LINC01871,LINC01871
TSPYL2,TSPYL2
TRAV39,TRAV39
BEX3,BEX3
CHI3L2,CHI3L2
CGAS,CGAS
ADAMTS4,ADAMTS4
CKB,CKB
ELL2,ELL2
CHST15,CHST15
ICA1,ICA1
ABCA1,ABCA1
PTPRJ,PTPRJ
NPC2,NPC2
MEF2B,MEF2B
LPAR2,LPAR2
KREMEN1,KREMEN1
KCTD12,KCTD12
CD38,CD38
PSTPIP2,PSTPIP2
MYBL1,MYBL1
SPX,SPX
EGR2,EGR2
SMIM5,SMIM5
ZFP36L2,ZFP36L2
UBN2,UBN2
BCORL1,BCORL1
SLC16A3,SLC16A3
ZBED2,ZBED2
INTS1,INTS1
FAM124A,FAM124A
TNFSF11,TNFSF11
CD2,CD2
ADAMDEC1,ADAMDEC1
COMP,COMP
ALDH1A2,ALDH1A2
C1S,C1S
ABCA6,ABCA6
ATP6V0C,ATP6V0C
BPGM,BPGM
S1PR5,S1PR5
RALGPS2,RALGPS2
IL19,IL19
KCNAB3,KCNAB3
SLCO4C1,SLCO4C1
RASSF6,RASSF6
CEMIP,CEMIP
RNF24,RNF24
PNPLA1,PNPLA1
IFIT1,IFIT1
PDLIM1,PDLIM1
IRF4,IRF4
VASN,VASN
TNFRSF12A,TNFRSF12A
ATAD2B,ATAD2B
BHLHE40,BHLHE40
CD1E,CD1E
SDHAF1,SDHAF1
TSPO2,TSPO2
CADPS,CADPS
TNFSF4,TNFSF4
LINC01480,LINC01480
SYTL3,SYTL3
CFP,CFP
CDKN1A,CDKN1A
TMEM158,TMEM158
KLRG1,KLRG1
MAOB,MAOB
CSTA,CSTA
KIF14,KIF14
RTN3,RTN3
LILRA4,LILRA4
TRGV8,TRGV8
NPPA,NPPA
ZRANB1,ZRANB1
XBP1,XBP1
KDM6B,KDM6B
DZANK1,DZANK1
KIR2DL4,KIR2DL4
SPATC1,SPATC1
GPR34,GPR34
SMIM18,SMIM18
TM4SF1,TM4SF1
PRRT4,PRRT4
COLEC12,COLEC12
MEIS1,MEIS1
TLE4,TLE4
SSR4,SSR4
DSC2,DSC2
PHACTR1,PHACTR1
EEF1A1,EEF1A1
VEPH1,VEPH1
NTM,NTM
GNG4,GNG4
LGALS4,LGALS4
ICOS,ICOS
CSGALNACT1,CSGALNACT1
TBL1X,TBL1X
TUBGCP6,TUBGCP6
SP3,SP3
ALDOA,ALDOA
S100A10,S100A10
GUCY1B1,GUCY1B1
BICRA,BICRA
BIRC5,BIRC5
ATG2B,ATG2B
ZNF283,ZNF283
ETS2,ETS2
LYST,LYST
BICRAL,BICRAL
FJX1,FJX1
MROH1,MROH1
HSP90B1,HSP90B1
CCN3,CCN3
GRAMD1A,GRAMD1A
CCNA2,CCNA2
TUBA4A,TUBA4A
PNPLA6,PNPLA6
DGKI,DGKI
TRAV25,TRAV25
IL17C,IL17C
NOS1AP,NOS1AP
RNF144B,RNF144B
QRICH2,QRICH2
PLD3,PLD3
DGAT2,DGAT2
MPP1,MPP1
COL7A1,COL7A1
ZNF654,ZNF654
CX3CR1,CX3CR1
WNK3,WNK3
LIME1,LIME1
FCRL5,FCRL5
PLK3,PLK3
SLC39A8,SLC39A8
