,feature_name
JCHAIN,JCHAIN
HBB,HBB
HBA2,HBA2
HBA1,HBA1
IGKC,IGKC
IGHA1,IGHA1
IGHA2,IGHA2
S100A8,S100A8
IGLC2,IGLC2
IGLC3,IGLC3
IGHM,IGHM
IGKV3-20,IGKV3-20
PRB3,PRB3
PPBP,PPBP
IGHG1,IGHG1
TPSB2,TPSB2
IGHG2,IGHG2
S100A9,S100A9
IGHV3-23,IGHV3-23
IGKV1-5,IGKV1-5
IGKV3-11,IGKV3-11
IGLV2-14,IGLV2-14
IGHV3-30,IGHV3-30
IGKV4-1,IGKV4-1
TPSAB1,TPSAB1
IGHV4-39,IGHV4-39
PF4,PF4
APOE,APOE
IGHV4-59,IGHV4-59
CLC,CLC
IGKV3-15,IGKV3-15
IGLV3-21,IGLV3-21
CCL18,CCL18
IGHV3-21,IGHV3-21
IGHV3-7,IGHV3-7
IGLV2-23,IGLV2-23
IGHV4-31,IGHV4-31
IGHG3,IGHG3
IGHV5-51,IGHV5-51
IGHV3-74,IGHV3-74
IGHV1-2,IGHV1-2
IGLV2-8,IGLV2-8
IGKV1-9,IGKV1-9
IGHV3-33,IGHV3-33
IGLV1-40,IGLV1-40
IGLL5,IGLL5
IGLV1-44,IGLV1-44
IGKV1-39,IGKV1-39
IGLV2-11,IGLV2-11
IGHV1-18,IGHV1-18
IGHV3-48,IGHV3-48
RNASE1,RNASE1
HBG2,HBG2
HBD,HBD
IGKV1-17,IGKV1-17
IGKV1D-13,IGKV1D-13
IGLV3-1,IGLV3-1
IGKV1-8,IGKV1-8
IGKV2D-28,IGKV2D-28
CXCL8,CXCL8
CA1,CA1
IGHV4-61,IGHV4-61
IGLV3-19,IGLV3-19
APOC1,APOC1
IGLV3-25,IGLV3-25
IL1B,IL1B
IGKV1-6,IGKV1-6
IGHV1-46,IGHV1-46
IGHV4-34,IGHV4-34
IGKV1-27,IGKV1-27
IGHV5-10-1,IGHV5-10-1
IGHV3-11,IGHV3-11
LCN2,LCN2
IGHV2-5,IGHV2-5
IGLV1-51,IGLV1-51
IGKV1-16,IGKV1-16
IGKV1D-8,IGKV1D-8
C1QB,C1QB
IGHV4-28,IGHV4-28
IGHV1-69D,IGHV1-69D
CXCL5,CXCL5
IGHG4,IGHG4
LYZ,LYZ
IGHV6-1,IGHV6-1
IGLV1-47,IGLV1-47
IGKV2-30,IGKV2-30
IGHV3-15,IGHV3-15
GNLY,GNLY
S100A12,S100A12
MMP9,MMP9
CHIT1,CHIT1
IGHV3-53,IGHV3-53
HSPA1A,HSPA1A
IGHV3-66,IGHV3-66
IGLV4-69,IGLV4-69
HSPA6,HSPA6
IGHV3-43,IGHV3-43
IGHV1-69,IGHV1-69
CCL20,CCL20
HBM,HBM
C1QA,C1QA
IGLV3-10,IGLV3-10
IGLV7-46,IGLV7-46
CCL4,CCL4
CPA3,CPA3
IGLV6-57,IGLV6-57
IGHV1-3,IGHV1-3
G0S2,G0S2
SELENOP,SELENOP
IGLL1,IGLL1
IGHV3-20,IGHV3-20
IGHV3-64D,IGHV3-64D
CCL3,CCL3
PTGDS,PTGDS
IGHV2-26,IGHV2-26
CCL4L2,CCL4L2
IL1R2,IL1R2
SERPINB2,SERPINB2
IGLV7-43,IGLV7-43
IGLV3-9,IGLV3-9
IGLV8-61,IGLV8-61
IGHV3-49,IGHV3-49
IGLV5-45,IGLV5-45
TUBB1,TUBB1
IGHV3-13,IGHV3-13
IGHV3-73,IGHV3-73
CXCL3,CXCL3
FN1,FN1
CAMP,CAMP
AHSP,AHSP
IGHV1-24,IGHV1-24
IGKV2D-29,IGKV2D-29
EREG,EREG
PRG2,PRG2
HSPA1B,HSPA1B
IGKV2-24,IGKV2-24
MT1G,MT1G
CXCL1,CXCL1
CAVIN2,CAVIN2
GP9,GP9
LYVE1,LYVE1
CTSG,CTSG
CXCL2,CXCL2
ALAS2,ALAS2
MS4A3,MS4A3
CXCL10,CXCL10
AREG,AREG
IGHV1-58,IGHV1-58
THBS1,THBS1
IGLC7,IGLC7
IGLV9-49,IGLV9-49
TRBV7-2,TRBV7-2
PLTP,PLTP
RETN,RETN
C1QC,C1QC
NKG7,NKG7
FTL,FTL
GNG11,GNG11
PRTN3,PRTN3
NRGN,NRGN
FCER1A,FCER1A
CCL3L3,CCL3L3
CCL2,CCL2
IFI27,IFI27
XCL1,XCL1
DNAJB1,DNAJB1
ELANE,ELANE
S100P,S100P
VCAM1,VCAM1
ABCA13,ABCA13
NEAT1,NEAT1
DCN,DCN
MPO,MPO
AZU1,AZU1
CST3,CST3
HBG1,HBG1
TRBV11-2,TRBV11-2
FCGR3B,FCGR3B
MT2A,MT2A
MGP,MGP
CCL22,CCL22
SLPI,SLPI
TRBV12-3,TRBV12-3
TCL1A,TCL1A
IFNG,IFNG
MZB1,MZB1
F13A1,F13A1
MT1E,MT1E
TRBV5-1,TRBV5-1
CA6,CA6
ZG16B,ZG16B
CCL5,CCL5
